Plant,Year,YearCrop,FID,Area,CaneType,NP,RT,CropType,Yield,Lon,Lat,geometry
RDC,2022,6566,601,25.29,NP,1,0,Jan-cane,12.694741,99.82501163844469,14.883169541112673,"POLYGON ((99.82597619997169 14.8820952853737, 99.82325599997178 14.882844185372967, 99.82315579997177 14.883568385372342, 99.82354159997175 14.88346618537242, 99.82352809997175 14.883400685372473, 99.82371369997175 14.88335138537252, 99.82374679997174 14.883424085372486, 99.82487279997169 14.88313778537272, 99.8250735999717 14.884448285371514, 99.82568689997167 14.884276685371685, 99.8260674999717 14.884110885371848, 99.82613949997169 14.884067685371893, 99.82597819997169 14.882098785373683, 99.82597619997169 14.8820952853737))"
RDC,2022,6566,604,11.75,NP,1,0,Jan-cane,16.15489362,99.82460973822337,14.88213422146635,"POLYGON ((99.8233624999718 14.88212068537364, 99.82326549997175 14.88280558537302, 99.8259835999717 14.882070385373693, 99.82594059997172 14.881500585374221, 99.8233624999718 14.88212068537364))"
RDC,2022,6566,605,15.6,NP,1,0,Jan-cane,15.70897436,99.82471977518365,14.881388140984603,"POLYGON ((99.82669509997166 14.880649485375018, 99.82365339997178 14.881223185374457, 99.82352619997178 14.881464485374263, 99.82345669997179 14.881657185374097, 99.82341159997176 14.881852585373911, 99.82338809997175 14.882082485373672, 99.82593079997167 14.881466085374285, 99.82589699997169 14.880984885374694, 99.82592859997169 14.880930085374764, 99.82606279997168 14.88087498537482, 99.82630249997167 14.880807085374848, 99.82668449997166 14.880721285374964, 99.82669509997166 14.880649485375018))"
RDC,2022,6566,606,11.19,NP,1,0,Jan-cane,17.230563,99.82506684132865,14.880708277237236,"POLYGON ((99.82367559997176 14.881179385374537, 99.82661939997169 14.88062048537507, 99.82650419997167 14.880316685375307, 99.8254583999717 14.880443485375215, 99.82494879997175 14.880535485375125, 99.82394649997174 14.880583985375075, 99.82367559997176 14.881179385374537))"
RDC,2022,6566,617,52.0,NP,1,0,Jan-cane,11.44365385,99.82646458098235,14.879342687887426,"POLYGON ((99.82945409997158 14.87966028537595, 99.8292049999716 14.878775185376757, 99.82917839997158 14.878644985376873, 99.82903099997158 14.87813168537732, 99.82351959997177 14.878927385376594, 99.82351429997178 14.878929185376606, 99.82373269997177 14.879557585376011, 99.82375389997175 14.87967368537592, 99.82400879997176 14.880492785375168, 99.82435919997175 14.880514585375106, 99.82490599997173 14.880492485375164, 99.82768669997164 14.880022185375584, 99.82771339997163 14.87987078537573, 99.82846519997159 14.879783185375848, 99.82855639997162 14.879828885375787, 99.82944709997155 14.879659285375952, 99.82945409997158 14.87966028537595))"
RDC,2022,6566,618,61.2,RT,0,1,RT1,14.12614379,99.82503103303881,14.872496008204582,"POLYGON ((99.8238768999718 14.874004785381066, 99.82387099997179 14.873990585381122, 99.8242343999718 14.87384158538124, 99.82456269997176 14.873696685381363, 99.82563059997175 14.873262585381761, 99.82565049997172 14.87326988538175, 99.82568049997171 14.87330948538175, 99.82568529997171 14.873322985381703, 99.82576129997175 14.873488385381565, 99.82598859997174 14.873874885381198, 99.82599959997171 14.87387708538124, 99.82603739997174 14.873867885381225, 99.8260495999717 14.873860785381224, 99.82719719997168 14.873242685381804, 99.82719469997168 14.87321638538182, 99.82717469997168 14.87317578538188, 99.8264738999717 14.871463785383455, 99.82645979997172 14.871435885383452, 99.82642589997171 14.871352685383526, 99.82600979997173 14.870185685384582, 99.82597449997175 14.870184085384624, 99.82593959997175 14.870219485384588, 99.82569149997174 14.870578085384235, 99.82544839997178 14.870896085383935, 99.82511219997174 14.871148485383722, 99.82484569997179 14.871309085383595, 99.8247197999718 14.871390485383513, 99.8242055999718 14.871603085383317, 99.82359199997182 14.871887685383044, 99.82343099997183 14.871990585382948, 99.82320789997182 14.872120285382831, 99.82302359997182 14.872189985382748, 99.82278669997183 14.87233718538262, 99.82278409997181 14.872362685382594, 99.82279299997182 14.872402985382585, 99.8229693999718 14.872947385382053, 99.82303179997184 14.873155985381867, 99.82308389997185 14.873361585381693, 99.82316329997178 14.87366538538139, 99.8233064999718 14.874187185380924, 99.8233605999718 14.874206785380872, 99.8238768999718 14.874004785381066))"
RDC,2022,6566,620,80.7,RT,0,1,RT2,14.18079306,99.82701978962609,14.877407866611366,"POLYGON ((99.82435849997178 14.878646485376848, 99.82901209997159 14.877956385377518, 99.82905619997162 14.877949885377477, 99.83078039997152 14.877718485377732, 99.83058589997157 14.87680578537856, 99.83056689997156 14.876762185378567, 99.83048289997154 14.876348685378968, 99.83042249997155 14.876211185379102, 99.83036269997157 14.876122885379164, 99.83025469997158 14.876063885379253, 99.8300767999716 14.876037385379231, 99.8297283999716 14.876085685379188, 99.8294848999716 14.87626458537907, 99.82917469997162 14.87642768537887, 99.82863959997164 14.876685785378676, 99.82858799997165 14.87672568537863, 99.82835629997162 14.876757285378597, 99.82812009997161 14.876412585378887, 99.8229426999718 14.877204185378162, 99.82314479997181 14.877835985377594, 99.82319639997183 14.87798568537746, 99.82330789997177 14.877965585377451, 99.82339899997177 14.878219785377253, 99.82424779997177 14.878110585377357, 99.82435069997177 14.87864938537682, 99.82435849997178 14.878646485376848))"
RDC,2022,6566,632,21.91,RT,0,1,RT2,11.60200822,99.81877700122816,14.870892469294114,"POLYGON ((99.81856779997196 14.868809785385855, 99.81831959997199 14.868792485385832, 99.818011099972 14.86884178538579, 99.81819959997202 14.870181485384581, 99.818384399972 14.871046685383755, 99.81863249997194 14.871944885382984, 99.81887289997199 14.872443185382533, 99.81904219997197 14.872746885382215, 99.81917429997193 14.87293528538206, 99.81967539997193 14.87282998538212, 99.81856779997196 14.868809785385855))"
RDC,2022,6566,634,15.72,RT,0,1,RT2,13.89312977,99.8174430038167,14.868248636601209,"POLYGON ((99.81629589997206 14.868042085386497, 99.81633849997209 14.868061485386528, 99.81675289997203 14.869013885385613, 99.81713939997206 14.868928385385745, 99.81727129997205 14.868879585385779, 99.81780749997203 14.868752285385872, 99.81829829997199 14.868694785385962, 99.81849559997198 14.868626785386015, 99.81808759997203 14.867392485387121, 99.81629589997206 14.868042085386497))"
RDC,2022,6566,635,11.86,RT,0,1,RT1,11.20320405,99.81905062660931,14.868014625313615,"POLYGON ((99.819235899972 14.867093885387398, 99.81833509997202 14.867387585387108, 99.818697399972 14.86874308538592, 99.81926399997194 14.868831685385807, 99.81963029997198 14.868745285385902, 99.81978809997193 14.868650985385989, 99.81926359997198 14.867083285387409, 99.819235899972 14.867093885387398))"
